Miscellaneous fabricated metal products manufacturing,Manufacturing
Aluminum production and processing,Manufacturing
Sawmills and wood preservation,Manufacturing
Paperboard containers and boxes,Manufacturing
"Bakeries, except retail",Manufacturing
"Paint, coating, and adhesive manufacturing",Manufacturing
Ship and boat building,Manufacturing
Nonferrous metal (except aluminum) production and processing,Manufacturing
"Seafood and other miscellaneous foods, n.e.c.",Manufacturing
"Coating, engraving, heat treating and allied activities",Manufacturing
Tire manufacturing,Manufacturing
Agricultural chemical manufacturing,Manufacturing
Not specified machinery manufacturing,Manufacturing
"Pottery, ceramics, and plumbing fixture manufacturing",Manufacturing
"Veneer, plywood, and engineered wood products",Manufacturing
Footwear manufacturing,Manufacturing
Ordnance,Manufacturing
Support activities for mining,"Mining, Quarrying, and Oil and Gas Extraction"
Not specified type of mining,"Mining, Quarrying, and Oil and Gas Extraction"
Metal ore mining,"Mining, Quarrying, and Oil and Gas Extraction"
Nonmetallic mineral mining and quarrying,"Mining, Quarrying, and Oil and Gas Extraction"
Oil and gas extraction,"Mining, Quarrying, and Oil and Gas Extraction"
Coal mining,"Mining, Quarrying, and Oil and Gas Extraction"
Industry,NAICS_Sector
Private households,Other Services (except Public Administration)
Automotive repair and maintenance,Other Services (except Public Administration)
Religious organizations,Other Services (except Public Administration)
Labor unions,Other Services (except Public Administration)
Commercial and industrial machinery and equipment repair and maintenance,Other Services (except Public Administration)
Electronic and precision equipment repair and maintenance,Other Services (except Public Administration)
"Civic, social, advocacy organizations, and grantmaking and giving services",Other Services (except Public Administration)
Personal and household goods repair and maintenance,Other Services (except Public Administration)
"Community food and housing, and emergency services",Other Services (except Public Administration)
"Business, professional, political, and similar organizations",Other Services (except Public Administration)
Other consumer goods rental,Other Services (except Public Administration)
Beauty salons,Other Services (except Public Administration)
Car washes,Other Services (except Public Administration)
Nail salons and other personal care services,Other Services (except Public Administration)
Other personal services,Other Services (except Public Administration)
Footwear and leather goods repair,Other Services (except Public Administration)
Drycleaning and laundry services,Other Services (except Public Administration)
"Funeral homes, and cemeteries and crematories",Other Services (except Public Administration)
Barber shops,Other Services (except Public Administration)
Advertising and related services,"Professional, Scientific, and Technical Services"
"Management, scientific, and technical consulting services","Professional, Scientific, and Technical Services"
"Accounting, tax preparation, bookkeeping, and payroll services","Professional, Scientific, and Technical Services"
Specialized design services,"Professional, Scientific, and Technical Services"
Legal services,"Professional, Scientific, and Technical Services"
Computer systems design and related services,"Professional, Scientific, and Technical Services"
"Other professional, scientific, and technical services","Professional, Scientific, and Technical Services"
Scientific research and development services,"Professional, Scientific, and Technical Services"
"Architectural, engineering, and related services","Professional, Scientific, and Technical Services"
"Justice, public order, and safety activities",Public Administration
Administration of economic programs and space research,Public Administration
Executive offices and legislative bodies,Public Administration
Public finance activities,Public Administration
National security and international affairs,Public Administration
Postal Service,Public Administration
U.S. Air Force,Public Administration
U.S. Armed Forces/n.s.,Public Administration
Other general government and support,Public Administration
Administration of human resource programs,Public Administration
Administration of environmental quality and housing programs,Public Administration
U.S. Coast Guard,Public Administration
"Active duty military personnel, all other",Public Administration
U.S. Army,Public Administration
U.S. Navy,Public Administration
U.S. Marine Corps,Public Administration
Real estate,Real Estate and Rental and Leasing
Automotive equipment rental and leasing,Real Estate and Rental and Leasing
"Commercial, industrial, and other intangible assets rental and leasing",Real Estate and Rental and Leasing
Gasoline stations,Retail Trade
Grocery stores,Retail Trade
"Radio, TV, and computer stores",Retail Trade
Household appliance stores,Retail Trade
"Health and personal care, except drug, stores",Retail Trade
Pharmacies and drug stores,Retail Trade
Clothing stores,Retail Trade
Automobile dealers,Retail Trade
Other motor vehicle dealers,Retail Trade
Department stores and discount stores,Retail Trade
Other direct selling establishments,Retail Trade
Hardware stores,Retail Trade
Fuel dealers,Retail Trade
Not specified retail trade,Retail Trade
Office supplies and stationery stores,Retail Trade
"Sporting goods, camera, and hobby and toy stores",Retail Trade
Retail florists,Retail Trade
Miscellaneous general merchandise stores,Retail Trade
Furniture and home furnishings stores,Retail Trade
"Jewelry, luggage, and leather goods stores",Retail Trade
Miscellaneous retail stores,Retail Trade
Shoe stores,Retail Trade
Book stores and news dealers,Retail Trade
"Beer, wine, and liquor stores",Retail Trade
"Auto parts, accessories, and tire stores",Retail Trade
Building material and supplies dealers,Retail Trade
Specialty food stores,Retail Trade
Vending machine operators,Retail Trade
Retail bakeries,Retail Trade
Lawn and garden equipment and supplies stores,Retail Trade
Used merchandise stores,Retail Trade
Music stores,Retail Trade
"Sewing, needlework, and piece goods stores",Retail Trade
Mail order houses,Retail Trade
Electronic shopping,Retail Trade
"Gift, novelty, and souvenir shops",Retail Trade
Rail transportation,Transportation and Warehousing
Bus service and urban transit,Transportation and Warehousing
Air transportation,Transportation and Warehousing
Services incidental to transportation,Transportation and Warehousing
Couriers and messengers,Transportation and Warehousing
Warehousing and storage,Transportation and Warehousing
Taxi and limousine service,Transportation and Warehousing
Pipeline transportation,Transportation and Warehousing
Scenic and sightseeing transportation,Transportation and Warehousing
Water transportation,Transportation and Warehousing
Truck transportation,Transportation and Warehousing
"Electric power generation, transmission, and distribution",Utilities
Natural gas distribution,Utilities
"Water, steam, air-conditioning, and irrigation systems",Utilities
Sewage treatment facilities,Utilities
Not specified utilities,Utilities
"Electric and gas, and other combinations",Utilities
"Wholesale electronic markets, agents and brokers",Wholesale Trade
"Drugs, sundries, and chemical and allied products, merchant wholesalers",Wholesale Trade
"Machinery, equipment, and supplies, merchant wholesalers",Wholesale Trade
"Furniture and home furnishing, merchant wholesalers",Wholesale Trade
"Paper and paper products, merchant wholesalers",Wholesale Trade
"Groceries and related products, merchant wholesalers",Wholesale Trade
"Motor vehicles, parts and supplies, merchant wholesalers",Wholesale Trade
"Metals and minerals, except petroleum, merchant wholesalers",Wholesale Trade
"Hardware, plumbing and heating equipment, and supplies, merchant wholesalers",Wholesale Trade
Not specified wholesale trade,Wholesale Trade
"Electrical and electronic goods, merchant wholesalers",Wholesale Trade
"Professional and commercial equipment and supplies, merchant wholesalers",Wholesale Trade
"Alcoholic beverages, merchant wholesalers",Wholesale Trade
"Miscellaneous durable goods, merchant wholesalers",Wholesale Trade
"Lumber and other construction materials, merchant wholesalers",Wholesale Trade
"Miscellaneous nondurable goods, merchant wholesalers",Wholesale Trade
"Apparel, fabrics, and notions, merchant wholesalers",Wholesale Trade
"Petroleum and petroleum products, merchant wholesalers",Wholesale Trade
"Recyclable material, merchant wholesalers",Wholesale Trade
"Farm supplies, merchant wholesalers",Wholesale Trade
"Farm product raw materials, merchant wholesalers",Wholesale Trade
